City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Lengshuitan,CN,76.53,overcast clouds,26.4111,111.5956,Jialong Hotel
10,Georgetown,MY,82.33,thunderstorm,5.4112,100.3354,Cititel Penang
16,Rubiataba,BR,73.58,overcast clouds,-15.1644,-49.8033,Pousada dos anjos
23,Atuona,PF,78.01,overcast clouds,-9.8,-139.0333,Villa Enata
25,Upata,VE,74.23,overcast clouds,8.0086,-62.3989,Posada Villa Nela
26,Mahebourg,MU,77.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Hambantota,LK,89.94,scattered clouds,6.1241,81.1185,Bungalow 63
35,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
39,Butaritari,KI,81.27,clear sky,3.0707,172.7902,Isles Sunset Lodge
42,Bilma,NE,84.13,clear sky,18.6853,12.9164,Expeditions Ténére voyages
43,Faanui,PF,81.72,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Hithadhoo,MV,84.16,overcast clouds,-0.6,73.0833,Scoop Guest House
46,Rikitea,PF,78.85,overcast clouds,-23.1203,-134.9692,People ThankYou
48,Karratha,AU,88.81,few clouds,-20.7377,116.8463,ibis Styles Karratha
52,Grand-Lahou,CI,84.78,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
54,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
55,Diamantina,BR,72.5,light rain,-18.2494,-43.6003,POUSADA OURO DE MINAS
56,Ewo,CG,87.98,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
62,Xiongzhou,CN,75.7,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
64,Ailigandi,PA,78.71,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
65,Kavaratti,IN,84.04,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
66,Bengkulu,ID,78.75,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
68,Nguruka,TZ,75.88,light rain,-5.1092,31.0419,RUSULI LODGE
71,Uklana Mandi,IN,86.49,clear sky,29.5023,75.8849,वर्मा पेन्टर उकलाना मण्डी
76,San Carlos,VE,79.54,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
77,Marzuq,YE,83.07,few clouds,14.4,46.4667,
80,Mamit,IN,72.34,broken clouds,23.9333,92.4833,Muamua
85,Mitzic,GA,86.02,broken clouds,0.7821,11.549,Motel Emys
88,Alugan,PH,79.99,scattered clouds,12.2188,125.4808,JM Lodge
94,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
95,Port Alfred,ZA,71.22,moderate rain,-33.5906,26.891,The Halyards Hotel
101,Urucara,BR,81.46,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
102,Vao,NC,79.56,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
103,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
106,Saint-Philippe,RE,78.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
108,Namibe,AO,76.19,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
109,Charters Towers,AU,73.35,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
110,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
113,Maltahohe,,77.88,light rain,-24.8333,16.9833,Maltahöhe Hotel
114,Victoria,HK,77.18,clear sky,22.2855,114.1577,Mini Hotel Central
121,Mayumba,GA,82.83,scattered clouds,-3.432,10.6554,LIKWALE LODGE
123,Iralaya,HN,79.9,clear sky,15.0,-83.2333,Iglesia morava renovada
126,Teahupoo,PF,71.56,light rain,-17.8333,-149.2667,Vanira Lodge
127,Sola,VU,81.52,overcast clouds,-13.8833,167.55,Leumerus Bungalows
129,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
130,Rehoboth,,81.19,overcast clouds,-23.3167,17.0833,Noble Luminous Accommodation
132,Inongo,CD,79.9,broken clouds,-1.95,18.2667,Hotel Du Lac
137,Kavieng,PG,82.89,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
142,Kota Bahru,MY,78.75,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
147,Buraydah,SA,73.85,overcast clouds,26.326,43.975,Mövenpick Qassim
153,Puerto Suarez,BO,75.76,overcast clouds,-18.95,-57.8,Hotel casa real
155,Samarai,PG,83.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
157,Mananjary,MG,78.21,moderate rain,-21.2167,48.3333,Vahiny Lodge
158,Mareeba,AU,74.44,light rain,-17.0,145.4333,Trinity Plains Tourist Park
159,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
163,Perumpavur,IN,85.91,haze,10.1333,76.4833,Hotel Travellers Inn
165,Castelo Do Piaui,BR,82.74,few clouds,-5.3222,-41.5525,Nobre Hotel
169,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
170,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
179,Nioki,CD,88.99,broken clouds,-2.7167,17.6833,
182,Boditi,ET,86.27,broken clouds,6.9667,37.8667,Me'aza Metasebiya Hotel.
184,Itacare,BR,84.45,light rain,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
189,Mandapam,IN,82.31,overcast clouds,9.2833,79.1167,Tanvi Chachaa Chalet
191,Kisangani,CD,88.05,overcast clouds,0.5167,25.2,Grand Ramela Hotel
193,Malacacheta,BR,77.88,overcast clouds,-17.8422,-42.0767,Pousada Varanda do Sol
194,Corn Island,NI,80.44,clear sky,12.1694,-83.0418,Big Fish Guest House
205,Uttaradit,TH,89.46,overcast clouds,17.6667,100.5,
206,Numaligarh,IN,81.59,overcast clouds,26.6333,93.75,Mumai Hotel
